Trial,P1_RT,P1_Accuracy,P2_RT,P2_Accuracy,P3_RT,P3_Accuracy
1,437.658,0.6,334.3846,0.6,496.124,0.2
2,370.588,0.6,335.644,0.4,277.766,0.4
3,358.2,0.4,411.902,0.8,234.556,0.4
4,399.528,0.4,302.298,0.6,224.476,0.6
5,406.87,0.6,351.32,0.6,255.684,0.2
6,389.398,0.6,360.646,0.8,303.328,0.6
7,456.07,0.6,280.41,0.8,288.304,0.6
8,441.156,0.6,331.97,0,255.626,0.6
9,393.494,0.6,297.66,0.6,194.344,0.8
10,393.36,0.4,309.264,0.8,210.34,0.8
11,423.524,0.4,372.07,1,188.098,0.8
12,474.964,1,309.312,0.8,241.164,0.8
13,384.964,0.6,370.018,0.8,293.428,0.4
14,391.664,0.2,315.17,0.8,215.324,0.2
15,390.34,0.6,338.548,0.6,231.682,0.8
16,489.938,0.6,327.548,0.6,205.752,0.6
17,417.776,0.4,261.324,0.4,182.25,0.8
18,425.66,0.8,277.484,0.4,209.204,0.4
19,405.836,0.6,268.796,0.4,211.906,0.2
20,472.018,0.6,300.236,0.2,286.53,0.6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,